VehicleId,Brand,CarModel,Year,Color,Transmission,FuelType,Mileage,Price,RegistrationDate,DateAdded
2235-YTC,Audi,A3,2023,Azul,Automática,Gasolina,1110.0,48070.23,2023-04-12,2025-05-30
5343-JLT,Seat,León,2020,Rojo,Automática,Gasolina,86197.0,20888.25,2020-08-19,2025-02-19
5164-VDD,Volkswagen,Polo,2025,Blanco,Manual,Gasolina,15260.0,28423.66,2025-10-17,2025-11-20
4090-DYF,Mercedes-Benz,GLC,2025,Blanco,Manual,Diésel,14003.0,51944.67,2025-11-19,2025-04-24
0723-CRF,Hyundai,Tucson,2023,Rojo,Automática,Híbrido,15863.0,25055.52,2023-05-23,2025-01-07
8689-FHP,Audi,A3,2024,Blanco,,Gasolina,7463.0,46202.07,2024-05-04,2024-12-21
9032-HXH,BMW,Serie 3,2024,Gris,Automática,Diésel,6673.0,39764.72,2024-03-17,2025-04-25
7378-TPM,Audi,Q3,2022,Azul,Manual,Híbrido,9625.0,43798.46,2022-06-14,2025-10-02
5017-SJD,Kia,Ceed,2025,Gris,Manual,Gasolina,13218.0,24568.18,2025-04-05,2024-12-12
8102-MXY,Audi,Q3,2022,Azul,Automática,Híbrido,66837.0,39918.77,2022-01-28,2024-12-13
1437-BZJ,Seat,Arona,2023,Gris,Automática,Gasolina,52167.0,24513.73,2023-01-30,2024-12-26
3285-JTB,Volkswagen,Tiguan,2025,Blanco,Manual,Diésel,11154.0,28799.04,2025-09-19,2025-05-24
7367-FZM,Mercedes-Benz,Clase C,2025,Plata,Manual,Híbrido,5860.0,54107.36,2025-05-07,2024-11-26
2228-TFK,Audi,Q3,2022,Gris,Automática,Híbrido,70430.0,44111.96,2022-08-31,2024-12-31
6894-SCW,Audi,Q3,2022,Blanco,Manual,Híbrido,13499.0,42751.55,2022-10-11,2025-05-18
7984-NZM,Peugeot,208,2025,Azul,Manual,Diésel,7381.0,21612.59,2025-08-31,2024-11-29
2215-WTC,Kia,Sportage,2023,Gris,Automática,Diésel,35552.0,21358.41,2023-02-18,2025-09-14
5942-NVZ,Volkswagen,Golf,2021,Negro,Automática,Diésel,98272.0,28473.4,2021-05-02,2025-01-23
2732-WLY,BMW,X3,2020,Azul,Automática,Híbrido,37653.0,40801.53,2020-01-04,2025-09-13
4994-DMF,Hyundai,i30,2020,Negro,Automática,Gasolina,32294.0,24277.74,2020-09-13,2025-10-20
2973-GHV,Kia,Sportage,2024,Azul,Automática,Híbrido,38126.0,24431.63,2024-10-15,2025-10-01
2327-GPJ,Hyundai,Tucson,2020,Blanco,Manual,Gasolina,117142.0,23735.98,2020-11-23,2025-03-17
2145-JBS,Toyota,Corolla,2022,Azul,Manual,Gasolina,33158.0,23605.0,2022-12-06,2025-06-18
7175-SMP,Volkswagen,Tiguan,2020,Blanco,Automática,Gasolina,84927.0,24220.72,2020-11-19,2025-08-17
5077-JXW,Ford,Kuga,2023,Gris,Manual,Gasolina,38312.0,23780.54,2023-10-07,2025-07-03
2274-LTW,Volkswagen,Golf,2025,Azul,Manual,Híbrido,10455.0,29985.87,2025-04-25,2025-09-07
4191-YSF,Volkswagen,Polo,2020,Rojo,Automática,Híbrido,14057.0,31453.29,2020-05-18,2024-12-18
1910-CRY,Hyundai,i30,2020,Plata,Manual,Gasolina,89912.0,25595.71,2020-07-25,2025-03-01
4065-LWV,Hyundai,i30,2021,Blanco,Automática,Híbrido,80263.0,27230.69,2021-07-22,2025-11-09
5985-FVS,Kia,Sportage,2022,Rojo,Automática,Híbrido,21526.0,25755.54,2022-01-29,2025-11-08
9270-YYJ,Peugeot,208,2023,Gris,Manual,Gasolina,7079.0,27570.28,2023-07-02,2025-01-31
5521-NWG,Hyundai,Tucson,2023,Rojo,Automática,Híbrido,54042.0,25792.0,2023-08-03,2025-06-06
8994-FRX,Toyota,RAV4,2024,Gris,Manual,Gasolina,35141.0,23232.6,2024-05-25,2025-10-26
1467-YBY,Ford,Kuga,2021,Azul,Manual,Gasolina,36681.0,23777.63,2021-01-22,2025-05-08
2760-RRC,Toyota,RAV4,2022,Plata,Automática,Diésel,69485.0,22499.93,2022-04-19,2025-04-16
4547-GNH,Seat,Arona,2021,Blanco,Automática,Gasolina,61936.0,25377.1,2021-02-27,2025-03-27
4660-PYV,Hyundai,Tucson,2022,Negro,Automática,Híbrido,35019.0,26542.5,2022-08-17,2025-02-26
4367-MPB,Volkswagen,Polo,2021,Negro,Automática,Gasolina,78847.0,26606.12,2021-06-30,2025-01-18
4328-RMB,,,2021,Rojo,Automática,Gasolina,53589.0,24457.43,2021-10-07,2025-05-28
3682-KGL,Volkswagen,Polo,2023,Plata,Manual,Gasolina,55307.0,25262.38,2023-09-15,2024-11-29
8541-HPJ,,,2025,Rojo,Automática,Diésel,12837.0,27902.56,2025-02-02,2025-08-01
1562-JPV,Volkswagen,Tiguan,2021,Plata,Manual,Diésel,76593.0,28935.89,2021-05-25,2025-11-22
7989-YDY,Toyota,Camry,2024,Plata,Automática,Híbrido,35788.0,21367.08,2024-01-17,2025-02-17
8643-TZR,BMW,Serie 3,2022,Gris,Manual,Gasolina,16438.0,41183.28,2022-12-10,2025-10-26
1242-NYN,Kia,Sportage,2023,Azul,Automática,Diésel,8169.0,22131.26,2023-06-16,2025-04-02
2391-CMK,Audi,Q3,2022,Blanco,Manual,Híbrido,44770.0,36277.67,2022-01-24,2025-06-05
6207-RNN,Mercedes-Benz,Clase C,2021,Azul,Automática,Diésel,58943.0,53656.7,2021-12-14,2025-03-18
4402-FSY,Ford,Kuga,2021,Plata,Automática,Diésel,72445.0,21469.56,2021-11-25,2025-02-19
6833-VSC,Kia,Sportage,2025,Azul,Manual,Diésel,16483.0,22175.0,2025-05-29,2025-05-11
9690-NCX,Kia,Ceed,2024,Plata,Automática,Híbrido,29707.0,22015.62,2024-10-17,2025-05-22
9887-NNG,Hyundai,i30,2020,Blanco,Manual,Híbrido,44344.0,27022.58,2020-10-06,2025-08-15
8150-VBL,Hyundai,Tucson,2024,Azul,Manual,Híbrido,5228.0,21620.65,2024-08-03,2024-12-18
4529-BRD,Volkswagen,Golf,2022,Negro,Automática,Híbrido,7408.0,31053.77,2022-08-25,2025-03-09
3637-DBK,Peugeot,2008,2025,Rojo,Manual,Híbrido,8643.0,24935.83,2025-11-11,2025-11-16
1560-TZP,Audi,Q3,2025,Plata,Automática,Gasolina,10642.0,45762.62,2025-07-23,2025-09-07
2939-ZYZ,Volkswagen,Polo,2020,Azul,Automática,Gasolina,99539.0,27486.26,2020-11-22,2025-03-19
9941-BXH,Ford,Kuga,2021,Negro,Automática,Gasolina,50810.0,23992.64,2021-11-06,2025-07-05
7814-GDX,Peugeot,2008,2025,Rojo,Manual,Diésel,8600.0,28138.51,2025-09-07,2025-11-17
7041-DSX,Peugeot,208,2025,Blanco,Automática,Gasolina,19780.0,28313.45,2025-09-23,2025-05-16
7254-TZV,Mercedes-Benz,Clase C,2021,Rojo,Manual,Diésel,17521.0,44713.73,2021-04-25,2025-11-02
7073-ZSX,,,2025,Gris,Manual,Diésel,2591.0,25475.16,2025-06-08,2025-09-12
1966-JGK,Audi,Q3,2021,Azul,Automática,Gasolina,2387.0,40511.24,2021-01-09,2025-05-27
0181-XVV,Audi,A3,2021,Plata,Automática,Gasolina,12155.0,40466.26,2021-01-12,2025-04-27
9086-DMK,Ford,Focus,2021,Plata,Manual,Híbrido,88942.0,21162.53,2021-05-19,2025-11-22
1706-ZWG,Peugeot,3008,2020,Negro,Automática,Gasolina,30179.0,23872.79,2020-01-13,2025-06-02
1104-RSX,Mercedes-Benz,GLC,2022,Plata,Automática,Diésel,14013.0,50397.55,2022-07-02,2025-01-14
1175-CBK,Ford,Kuga,2022,Rojo,,Híbrido,36987.0,25258.62,2022-10-13,2025-08-06
3668-VGV,Toyota,Camry,2020,Negro,Automática,Híbrido,66106.0,23493.04,2020-03-02,2025-04-25
9586-VYX,Seat,León,2020,Negro,Automática,Diésel,64913.0,21244.45,2020-08-26,2025-10-14
8624-DSH,Volkswagen,Tiguan,2020,Gris,Manual,Gasolina,7358.0,28270.48,2020-06-25,2024-12-03
4992-PCM,Volkswagen,Polo,2023,Plata,Manual,Híbrido,3956.0,27161.15,2023-05-31,2025-11-12
4451-ZTD,,,2023,Rojo,Automática,Diésel,8709.0,21483.77,2023-10-05,2025-07-02
0383-MGD,Peugeot,2008,2021,Negro,Manual,Híbrido,33383.0,24913.28,2021-05-28,2024-12-22
6930-LFP,,,2021,Plata,Manual,Diésel,8403.0,24407.46,2021-08-28,2025-10-16
1006-WJJ,Audi,Q3,2022,Rojo,Automática,Híbrido,21352.0,41516.7,2022-10-07,2025-04-05
1371-YWM,Kia,Ceed,2021,Blanco,Automática,Gasolina,41422.0,20274.32,2021-11-25,2024-12-18
5828-NNC,Volkswagen,Golf,2025,Gris,Automática,Híbrido,17297.0,26374.81,2025-01-04,2025-09-22
6463-BXZ,Ford,Focus,2023,Plata,Automática,Gasolina,54500.0,23121.32,2023-04-18,2025-11-01
7076-MMF,BMW,Serie 5,2025,Plata,Automática,Gasolina,17050.0,41331.76,2025-09-03,2025-09-08
5156-FPX,Mercedes-Benz,Clase C,2021,Negro,Manual,Diésel,91767.0,42249.87,2021-07-21,2025-11-14
1155-CGW,Ford,Focus,2025,Rojo,Manual,Gasolina,15268.0,19344.89,2025-09-20,2025-01-23
8542-RJV,Volkswagen,Tiguan,2020,Negro,Automática,Gasolina,112859.0,25758.95,2020-11-17,2025-05-21
3726-BMR,,,2025,Blanco,Manual,Diésel,11356.0,24175.72,2025-11-18,2025-09-11
9065-BYZ,Hyundai,Tucson,2025,Azul,Manual,Gasolina,18443.0,26006.1,2025-08-03,2025-09-29
7044-NCX,Mercedes-Benz,Clase C,2020,Azul,Manual,Diésel,48275.0,46144.48,2020-03-31,2025-07-14
3067-RZT,Volkswagen,Tiguan,2022,Negro,Automática,Híbrido,64530.0,28774.43,2022-03-20,2025-07-06
8362-DMK,BMW,Serie 3,2020,Gris,Manual,Gasolina,43856.0,43693.39,2020-12-11,2025-01-30
8170-FRH,Toyota,Camry,2024,Plata,Automática,Gasolina,22021.0,25509.9,2024-06-02,2025-04-08
1908-VJT,Volkswagen,Polo,2024,,Automática,Híbrido,2041.0,31260.2,2024-12-22,2025-04-02
0799-XTH,Peugeot,208,2024,Azul,Manual,Diésel,37547.0,25732.23,2024-10-09,2025-04-08
1185-RKC,Volkswagen,Golf,2021,Rojo,Manual,Híbrido,30533.0,29622.72,2021-08-22,2025-10-16
4691-VDR,Ford,Focus,2020,Azul,Automática,Diésel,104252.0,24000.35,2020-05-15,2025-04-01
1779-DXW,Toyota,Corolla,2022,Azul,Manual,Diésel,2286.0,25008.66,2022-11-05,2025-04-24
9045-CVV,Toyota,Corolla,2023,Azul,Manual,Híbrido,58291.0,25802.91,2023-05-12,2025-05-04
2761-VVF,Mercedes-Benz,GLC,2021,Rojo,Manual,Diésel,97271.0,55016.16,2021-01-17,2025-01-20
0784-GXG,Peugeot,3008,2021,Gris,Automática,Híbrido,55868.0,23100.57,2021-07-19,2025-03-17
9802-WKL,Toyota,RAV4,2021,Plata,Automática,Diésel,38748.0,24776.89,2021-03-28,2025-01-30
5844-PDT,Mercedes-Benz,Clase C,2023,Gris,Automática,Diésel,29462.0,54473.98,2023-08-30,2025-02-08
0177-DZT,BMW,Serie 5,2021,Plata,Manual,Diésel,38494.0,39171.4,2021-11-24,2025-07-15
6520-BLH,Hyundai,Tucson,2024,Rojo,Manual,Diésel,23907.0,20851.46,2024-10-18,2025-10-30
5189-DZT,Ford,Kuga,2024,Plata,Manual,Gasolina,29198.0,20275.36,2024-10-10,2025-04-12
1165-SBR,Toyota,Camry,2023,Blanco,Manual,Gasolina,44627.0,25339.17,2023-05-27,2025-08-05
1595-CYD,Toyota,Corolla,2020,Negro,Manual,Gasolina,103051.0,28614.31,2020-07-11,2025-10-25
9450-KLL,Peugeot,2008,2021,Negro,,Diésel,13334.0,22105.31,2021-07-01,2025-08-18
7897-YRN,Seat,León,2020,Rojo,Automática,Gasolina,88039.0,20117.68,2020-08-26,2024-12-10
7787-CNG,Ford,Focus,2023,Blanco,Manual,Híbrido,28489.0,21164.43,2023-02-24,2025-07-29
5362-NKR,Kia,Ceed,2023,Azul,Manual,Diésel,41647.0,23697.4,2023-09-04,2025-01-06
8914-JMR,Peugeot,3008,2023,Azul,Manual,Diésel,6887.0,27197.23,2023-04-11,2025-08-01
1156-HHG,Mercedes-Benz,GLC,2023,Plata,Manual,Híbrido,45797.0,53165.52,2023-07-19,2025-09-15
4887-DDP,Toyota,Corolla,2024,Azul,Automática,Diésel,30761.0,23181.97,2024-06-23,2025-01-12
4170-HCN,Peugeot,208,2022,Negro,Automática,Híbrido,3313.0,22158.53,2022-04-24,2025-05-01
5283-RSL,BMW,Serie 5,2023,Blanco,Manual,Gasolina,14160.0,42204.88,2023-12-02,2025-04-29
2197-WRY,Seat,León,2021,Blanco,Automática,Gasolina,11353.0,25584.64,2021-04-14,2025-10-01
2415-PBJ,Toyota,RAV4,2022,Rojo,Manual,Gasolina,70700.0,21696.5,2022-01-05,2025-09-21
2823-LGD,,,2020,Rojo,Manual,Híbrido,16841.0,23521.16,2020-02-22,2024-12-03
5769-CBP,Kia,Ceed,2020,Negro,Manual,Diésel,7142.0,23506.74,2020-03-28,2025-06-27
8659-PRB,BMW,Serie 3,2022,Negro,Automática,Híbrido,62688.0,42640.45,2022-09-17,2025-07-20
9232-VRW,Audi,A3,2024,Azul,Automática,Diésel,23055.0,46383.56,2024-06-21,2025-03-07
9826-NLD,Toyota,Camry,2024,Azul,Automática,Gasolina,29620.0,27454.52,2024-07-04,2025-08-03
6982-GWZ,Seat,Arona,2024,Rojo,Manual,Gasolina,36594.0,21909.97,2024-10-26,2025-02-09
7440-RMF,Seat,Ateca,2021,Blanco,Automática,Híbrido,98247.0,26287.79,2021-11-18,2025-08-28
6253-WTM,Audi,Q3,2025,Gris,Automática,Diésel,16813.0,43055.65,2025-01-16,2025-01-18
2403-TDY,Kia,Sportage,2022,Gris,Manual,Diésel,44863.0,19907.29,2022-04-22,2024-12-02
1623-XRN,Peugeot,3008,2025,Gris,Manual,Híbrido,1634.0,23546.67,2025-05-02,2025-03-20
4504-XSY,Kia,Sportage,2022,Negro,Manual,Híbrido,30783.0,22147.2,2022-05-12,2025-09-04
5544-YJG,Mercedes-Benz,GLC,2023,Plata,Automática,Diésel,3978.0,50175.85,2023-07-18,2024-12-02
7699-YJZ,Seat,León,2023,Blanco,Manual,Híbrido,43057.0,24678.99,2023-10-22,2025-05-13
7999-DXM,Ford,Focus,2023,Azul,Manual,Híbrido,26234.0,20815.44,2023-08-17,2025-07-21
1052-SRD,Kia,Sportage,2021,Azul,Automática,Híbrido,18279.0,25815.79,2021-11-12,2025-01-31
6334-STY,Audi,Q3,2025,Negro,Manual,Diésel,1680.0,42229.87,2025-10-06,2024-11-27
6902-JYF,Mercedes-Benz,Clase C,2020,Plata,Manual,Híbrido,97724.0,49840.35,2020-04-15,2025-03-16
1814-XLK,Mercedes-Benz,Clase C,2022,Blanco,Automática,Diésel,42683.0,43699.11,2022-01-01,2025-10-07
5382-NLY,Ford,Kuga,2022,Blanco,Automática,Diésel,44348.0,20054.98,2022-05-14,2025-10-15
0071-PKG,Seat,Arona,2025,Rojo,Manual,Gasolina,3898.0,21016.83,2025-11-05,2025-03-07
0299-KDZ,Mercedes-Benz,Clase C,2024,Azul,Automática,Diésel,21206.0,50599.27,2024-01-15,2025-03-08
5903-KSH,Hyundai,Tucson,2023,Negro,Automática,Gasolina,41503.0,22757.4,2023-07-23,2025-02-27
2073-TCR,BMW,Serie 5,2025,Plata,Manual,Gasolina,15806.0,47549.16,2025-04-25,2025-10-14
0239-GNL,Ford,Kuga,2024,Blanco,Manual,Híbrido,34868.0,23216.0,2024-05-22,2025-05-09
7777-SML,Volkswagen,Golf,2021,Negro,Automática,Diésel,85327.0,26439.0,2021-03-24,2024-12-23
9333-FLR,Ford,Focus,2025,Rojo,Automática,Gasolina,1639.0,22683.21,2025-08-18,2025-05-16
0138-YGF,Toyota,Camry,2022,Azul,Manual,Híbrido,16465.0,24880.04,2022-05-04,2025-06-26
8623-LCH,Audi,Q3,2023,Plata,Manual,Gasolina,34742.0,46657.26,2023-06-15,2025-03-31
8630-SVK,Ford,Kuga,2025,,Manual,Diésel,6388.0,20466.54,2025-07-17,2025-11-17
4062-WRZ,Volkswagen,Polo,2023,Plata,Manual,Diésel,55266.0,26766.53,2023-08-25,2025-01-05
0173-PFN,Seat,León,2021,Negro,Automática,Gasolina,88463.0,25273.5,2021-06-06,2025-08-01
0570-ZMD,Kia,Sportage,2025,Plata,Manual,Híbrido,14754.0,21529.97,2025-04-30,2025-05-03
4570-KWP,Seat,León,2020,Azul,Manual,Diésel,54091.0,20798.04,2020-09-13,2025-01-09
6423-JCW,Volkswagen,Golf,2023,Plata,Manual,Gasolina,42670.0,26119.39,2023-06-16,2025-01-07
4370-WYT,BMW,X3,2021,Plata,Automática,Diésel,42747.0,45290.66,2021-05-13,2025-09-28
9327-LDW,Hyundai,Tucson,2025,Rojo,Manual,Gasolina,17471.0,26011.92,2025-04-28,2025-02-17
6762-XSZ,Volkswagen,Polo,2024,Negro,Manual,Diésel,15765.0,24562.71,2024-11-05,2025-04-23
2125-PJG,Hyundai,Tucson,2024,Gris,Manual,Diésel,29250.0,23315.43,2024-02-11,2025-02-05
2244-DYC,Kia,Sportage,2022,Rojo,Automática,Gasolina,39334.0,24707.81,2022-09-17,2025-04-11
4025-MSR,Audi,A3,2023,Gris,Manual,Gasolina,53099.0,39694.63,2023-01-19,2025-07-16
4154-DDR,Kia,Sportage,2021,Plata,Manual,Diésel,80875.0,25325.42,2021-12-15,2025-07-09
1636-BFB,Hyundai,Tucson,2025,Negro,Automática,Gasolina,15962.0,22713.31,2025-11-26,2025-08-21
3315-PZX,Volkswagen,Tiguan,2020,Rojo,Automática,Diésel,93386.0,30468.37,2020-01-13,2025-09-29
2032-THV,Hyundai,i30,2025,Negro,Automática,Diésel,9335.0,23943.64,2025-02-17,2025-08-08
9893-WFS,,,2023,Azul,Automática,Diésel,24500.0,21743.44,2023-07-24,2025-07-28
0270-LPZ,BMW,Serie 5,2021,Negro,Automática,Diésel,86468.0,49899.71,2021-01-24,2024-12-29
4186-XJP,Peugeot,3008,2022,Rojo,,Gasolina,77605.0,21535.44,2022-08-09,2025-06-10
2718-ZKH,Ford,Kuga,2022,Blanco,Manual,Híbrido,36598.0,19828.09,2022-03-05,2025-01-16
8318-GVV,Hyundai,i30,2025,Plata,Manual,Diésel,17763.0,23702.04,2025-07-13,2025-01-16
8127-RJM,Ford,Kuga,2025,Azul,,Diésel,17026.0,24376.5,2025-02-22,2025-06-25
8642-JZH,Volkswagen,Tiguan,2020,Gris,Automática,Diésel,86715.0,27076.27,2020-12-30,2025-11-09
0759-DVZ,Volkswagen,Polo,2020,Negro,Manual,Diésel,109341.0,29297.84,2020-06-24,2025-09-24
4156-YTL,Kia,Sportage,2021,Plata,Automática,Híbrido,94719.0,23339.42,2021-05-13,2025-09-14
6897-SBN,Kia,Ceed,2021,Blanco,Manual,Diésel,80442.0,20017.36,2021-09-25,2025-02-03
